"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2000"	"2000"	"Virginia"	"51"	768	7078515	10.8
	"2000"	"2000"	"Washington"	"53"	726	5894121	12.3
	"2000"	"2000"	"West Virginia"	"54"	244	1808344	13.5
	"2000"	"2000"	"Wisconsin"	"55"	590	5363675	11.0
	"2000"	"2000"	"Wyoming"	"56"	83	493782	16.8
	"2001"	"2001"	"Alabama"	"01"	512	4467634	11.5
	"2001"	"2001"	"Alaska"	"02"	101	633714	15.9
	"2001"	"2001"	"Arizona"	"04"	762	5273477	14.4
	"2001"	"2001"	"Arkansas"	"05"	382	2691571	14.2
	"2001"	"2001"	"California"	"06"	2819	34479458	8.2
	"2001"	"2001"	"Colorado"	"08"	722	4425687	16.3
	"2001"	"2001"	"Connecticut"	"09"	282	3432835	8.2
	"2001"	"2001"	"Delaware"	"10"	107	795699	13.4
	"2001"	"2001"	"District of Columbia"	"11"	40	574504	7.0
	"2001"	"2001"	"Florida"	"12"	2309	16356966	14.1
	"2001"	"2001"	"Georgia"	"13"	931	8377038	11.1
	"2001"	"2001"	"Hawaii"	"15"	136	1225948	11.1
	"2001"	"2001"	"Idaho"	"16"	209	1319962	15.8
	"2001"	"2001"	"Illinois"	"17"	1138	12488445	9.1
	"2001"	"2001"	"Indiana"	"18"	715	6127760	11.7
	"2001"	"2001"	"Iowa"	"19"	303	2931997	10.3
	"2001"	"2001"	"Kansas"	"20"	292	2702162	10.8
	"2001"	"2001"	"Kentucky"	"21"	492	4068132	12.1
	"2001"	"2001"	"Louisiana"	"22"	491	4477875	11.0
	"2001"	"2001"	"Maine"	"23"	160	1285692	12.4
	"2001"	"2001"	"Maryland"	"24"	452	5374691	8.4
	"2001"	"2001"	"Massachusetts"	"25"	426	6397634	6.7
	"2001"	"2001"	"Michigan"	"26"	1049	9991120	10.5
	"2001"	"2001"	"Minnesota"	"27"	478	4982796	9.6
	"2001"	"2001"	"Mississippi"	"28"	328	2852994	11.5
	"2001"	"2001"	"Missouri"	"29"	721	5641142	12.8
	"2001"	"2001"	"Montana"	"30"	175	906961	19.3
	"2001"	"2001"	"Nebraska"	"31"	187	1719836	10.9
	"2001"	"2001"	"Nevada"	"32"	387	2098399	18.4
	"2001"	"2001"	"New Hampshire"	"33"	166	1255517	13.2
	"2001"	"2001"	"New Jersey"	"34"	588	8492671	6.9
	"2001"	"2001"	"New Mexico"	"35"	361	1831690	19.7
	"2001"	"2001"	"New York"	"36"	1251	19082838	6.6
	"2001"	"2001"	"North Carolina"	"37"	997	8210122	12.1
	"2001"	"2001"	"North Dakota"	"38"	79	639062	12.4
	"2001"	"2001"	"Ohio"	"39"	1218	11387404	10.7
	"2001"	"2001"	"Oklahoma"	"40"	515	3467100	14.9
	"2001"	"2001"	"Oregon"	"41"	503	3467937	14.5
	"2001"	"2001"	"Pennsylvania"	"42"	1270	12298970	10.3
	"2001"	"2001"	"Rhode Island"	"44"	87	1057142	8.2
	"2001"	"2001"	"South Carolina"	"45"	467	4064995	11.5
	"2001"	"2001"	"South Dakota"	"46"	105	757972	13.9
